R,G,B,Count,Order,Color
173.0,82.0,119.0,1428.0,1.0,#ad5277
194.0,106.0,132.0,855.0,2.0,#c26a84
211.0,124.0,143.0,741.0,3.0,#d37c8f
233.0,107.0,108.0,2252.0,4.0,#e96b6c
245.0,125.0,127.0,718.0,5.0,#f57d7f
247.0,152.0,156.0,1927.0,6.0,#f7989c
239.0,177.0,189.0,557.0,7.0,#efb1bd
82.0,79.0,63.0,1707.0,8.0,#524f3f
87.0,82.0,84.0,2028.0,9.0,#575254
99.0,90.0,74.0,4176.0,10.0,#635a4a
104.0,92.0,102.0,525.0,11.0,#685c66
112.0,100.0,87.0,1401.0,12.0,#706457
120.0,109.0,104.0,2527.0,13.0,#786d68
131.0,115.0,94.0,1750.0,14.0,#83735e
129.0,120.0,101.0,2379.0,15.0,#817865
147.0,136.0,110.0,1266.0,16.0,#93886e
138.0,123.0,133.0,576.0,17.0,#8a7b85
156.0,140.0,123.0,2323.0,18.0,#9c8c7b
165.0,148.0,123.0,2080.0,19.0,#a5947b
165.0,140.0,132.0,1382.0,20.0,#a58c84
156.0,156.0,132.0,2877.0,21.0,#9c9c84
173.0,160.0,127.0,2846.0,22.0,#ada07f
163.0,152.0,177.0,405.0,23.0,#a398b1
187.0,179.0,149.0,1249.0,24.0,#bbb395
182.0,171.0,176.0,508.0,25.0,#b6abb0
206.0,199.0,177.0,1112.0,26.0,#cec7b1
203.0,189.0,203.0,732.0,27.0,#cbbdcb
222.0,222.0,206.0,1768.0,28.0,#dedece
239.0,225.0,192.0,1012.0,29.0,#efe1c0
239.0,222.0,222.0,1664.0,30.0,#efdede
239.0,239.0,222.0,5498.0,31.0,#efefde
255.0,255.0,255.0,25287.0,32.0,#ffffff
